,nationality,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
2,Empfänger/innen insgesamt,427.31,282.02,218.07,209.07,212.26,224.22,229.71,270.73,284.14,283.75,286.04,276.57,281.85,281.24,270.47
3,    voll erwerbsgeminderte unter 65 Jahre,457.41,282.06,151.79,151.6,157.38,169.42,177.01,200.26,219.47,221.2,224.65,220.53,224.51,226.34,218.96
4,    Personen über 65 Jahre,403.16,281.99,275.3,259.85,261.5,273.75,276.54,333.78,340.89,339.01,340.26,326.2,332.0,328.26,312.67
5,  Deutsche,456.04,298.48,231.62,221.68,225.67,238.86,244.9,288.96,304.55,304.52,308.29,300.09,306.73,307.72,296.12
6,    voll erwerbsgeminderte unter 65 Jahre,468.31,287.15,154.02,154.33,161.28,174.54,183.31,207.8,227.88,230.01,234.56,231.96,236.45,239.49,231.94
7,    Personen über 65 Jahre,445.17,308.74,308.16,290.07,292.13,305.55,307.59,372.39,381.83,380.77,383.53,369.46,377.52,375.19,356.58
8,  EU - Ausländer,343.03,215.74,195.6,198.89,196.03,205.88,208.72,242.22,256.79,260.56,258.04,239.99,239.89,239.66,230.74
9,    voll erwerbsgeminderte unter 65 Jahre,345.35,202.5,160.23,162.24,153.93,161.7,170.13,185.96,211.27,204.99,195.53,180.09,178.57,171.93,159.29
10,    Personen über 65 Jahre,340.92,224.57,215.2,219.57,218.3,229.97,229.33,271.24,280.62,288.08,288.59,269.28,269.32,271.04,261.97
11,  Ausländer,218.41,162.67,136.55,135.85,136.68,142.53,146.57,173.88,178.42,180.8,179.77,168.01,172.08,169.53,164.42
12,    voll erwerbsgeminderte unter 65 Jahre,324.71,224.54,124.65,120.47,118.07,120.05,117.61,132.28,145.31,149.23,151.03,141.9,147.22,147.4,145.48
13,    Personen über 65 Jahre,181.44,140.21,140.97,141.81,144.23,151.99,158.86,191.83,192.74,194.71,193.05,180.71,184.25,180.42,173.67
15,Zusammen,423.61,281.18,187.22,182.16,186.24,196.23,201.67,234.6,250.39,255.9,258.81,246.07,248.74,251.61,243.33
16,    voll erwerbsgeminderte unter 65 Jahre,458.06,285.17,145.1,143.58,149.01,158.19,164.86,184.19,203.51,206.89,209.05,203.3,205.34,208.51,199.63
17,    Personen über 65 Jahre,381.54,276.31,240.31,230.02,232.33,242.91,245.33,292.94,302.98,309.36,312.32,291.74,293.66,294.47,284.75
18,  Deutsche,444.29,291.72,192.6,186.6,191.56,202.73,208.74,243.26,261.24,268.08,272.78,261.08,265.05,270.05,261.5
19,    voll erwerbsgeminderte unter 65 Jahre,466.37,287.87,147.26,145.62,151.99,162.17,169.68,190.14,210.3,214.17,217.19,212.31,215.26,219.69,210.46
20,    Personen über 65 Jahre,413.33,297.09,260.22,246.7,249.45,261.08,262.78,314.41,326.99,335.66,341.19,320.37,323.58,326.96,316.39
21,  EU - Ausländer,346.97,234.75,200.03,201.63,196.11,198.97,200.51,231.64,247.43,254.2,250.07,230.19,226.78,225.32,220.9
22,    voll erwerbsgeminderte unter 65 Jahre,350.0,224.49,155.76,158.19,150.26,150.08,151.97,164.23,191.36,187.65,182.61,167.41,168.22,157.6,145.2
23,    Personen über 65 Jahre,343.91,241.95,226.45,226.23,220.23,225.27,225.3,266.14,277.17,287.81,282.41,260.11,254.46,255.67,253.31
24,  Ausländer,266.71,199.41,146.49,147.82,148.2,151.66,154.38,177.09,180.68,179.78,175.49,159.74,159.29,156.03,151.06
25,    voll erwerbsgeminderte unter 65 Jahre,341.46,251.21,111.85,113.06,110.63,111.17,110.79,120.96,134.03,137.38,137.66,129.95,128.67,129.42,127.15
26,    Personen über 65 Jahre,237.22,178.39,161.29,163.24,165.49,171.24,175.92,205.73,205.1,202.15,196.51,177.06,177.2,171.45,164.63
28,Zusammen,430.56,282.78,246.51,234.7,237.38,251.38,257.02,307.23,318.65,313.2,315.3,309.62,318.5,314.71,300.95
29,    voll erwerbsgeminderte unter 65 Jahre,456.52,277.82,160.93,162.48,168.68,184.41,193.04,221.63,240.8,240.3,245.52,243.54,250.2,250.29,244.75
30,    Personen über 65 Jahre,416.39,285.6,298.18,280.57,282.33,296.19,299.73,366.04,371.58,364.59,365.05,357.28,367.94,361.21,339.93
31,  Deutsche,466.46,304.64,268.6,256.32,259.87,275.38,281.62,337.45,351.13,345.55,349.07,345.35,356.29,353.62,338.01
32,    voll erwerbsgeminderte unter 65 Jahre,471.04,286.14,163.61,166.66,174.41,191.81,202.11,232.33,252.34,252.12,258.93,259.56,266.29,267.53,262.2
