Kennung;Name;" je 100 der Bevölkerung1)
(insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(Deutsche insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(Ausländer insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Ausländer)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Ausländer)"
1011101;Stülerstr.;2,81;0,98;8,84;3,42;1,34;7,31;2,02;0,65;17,12
1011102;Großer Tiergarten;3,55;1,41;14,81;6,12;2,70;16,67;0,00;0,00;0,00
1011103;Lützowstr.;5,10;1,39;18,92;5,29;1,94;14,25;4,81;0,69;36,02
1011104;Körnerstr.;3,66;1,24;25,84;4,24;1,52;22,68;2,88;0,89;35,42
1011105;Nördl. Landwehrkanal;0,56;0,17;2,73;0,72;0,19;2,27;0,41;0,15;4,55
1011201;Wilhelmstr.;1,10;0,40;4,24;0,95;0,66;1,68;1,25;0,18;14,44
1011202;Unter den Linden Nord;0,54;0,22;2,20;0,85;0,37;2,56;0,00;0,00;0,00
1011203;Unter den Linden Süd;0,89;0,47;3,01;1,11;0,83;2,07;0,52;0,00;9,52
1011204;Leipziger Str.;1,65;0,79;4,77;1,77;1,15;3,24;1,43;0,29;17,05
1011301;Charitéviertel;0,64;0,24;3,69;0,82;0,32;3,59;0,28;0,10;4,35
1011302;Oranienburger Str.;1,20;0,72;5,48;1,48;0,98;4,90;0,52;0,14;9,92
1011303;Alexanderplatzviertel;2,14;0,90;8,31;2,72;1,32;6,99;1,15;0,34;25,23
1011304;Karl-Marx-Allee;2,06;0,93;4,63;2,10;1,23;3,28;1,96;0,54;32,43
1011305;Heine-Viertel West;0,99;0,47;2,83;1,07;0,70;1,94;0,80;0,11;15,45
1011306;Heine-Viertel Ost;1,14;0,82;2,68;1,44;1,27;1,98;0,58;0,18;10,85
1011401;Invalidenstr.;0,78;0,38;6,00;1,05;0,56;5,73;0,25;0,06;8,13
1011402;Arkonaplatz;0,68;0,31;5,09;0,84;0,43;4,52;0,31;0,03;10,00
1022101;Huttenkiez;3,87;1,53;24,66;3,96;1,76;21,29;3,74;1,17;31,91
1022102;Beusselkiez;4,06;1,77;23,79;4,84;2,46;23,06;3,15;0,99;24,90
1022103;Westhafen;4,63;1,04;34,78;7,25;3,57;23,08;3,40;0,00;50,00
1022104;Emdener Str.;3,50;1,44;15,80;3,80;1,80;14,15;2,95;0,81;20,26
1022105;Zwinglistr.;4,40;1,86;21,18;4,46;2,21;17,04;4,30;1,35;30,99
1022106;Elberfelder Str.;2,38;1,01;7,49;2,53;1,21;6,72;1,86;0,42;13,50
1022201;Stephankiez;2,78;1,23;15,42;2,91;1,40;13,81;2,52;0,88;19,92
1022202;Heidestr.;1,61;0,71;18,11;2,06;0,91;17,44;1,19;0,54;19,35
1022203;Lübecker Str.;5,16;1,68;20,69;4,86;1,84;17,24;5,67;1,42;27,89
1022204;Thomasiusstr.;2,68;1,07;9,22;2,70;1,25;7,37;2,65;0,70;20,57
1022205;Zillesiedlung;6,87;3,19;20,60;7,95;4,65;17,49;4,80;0,80;33,02
1022206;Lüneburger Str.;2,98;0,90;12,57;2,90;0,90;10,75;3,19;0,93;23,29
1022207;Hansaviertel;2,60;0,68;8,83;2,57;0,78;6,22;2,66;0,56;32,03
1033101;Soldiner Str.;3,90;1,75;18,41;4,29;2,20;15,45;3,41;1,21;24,88
1033102;Gesundbrunnen;3,52;1,73;15,37;3,63;2,04;12,57;3,37;1,31;21,08
